Search_method Problem Max_evals Run Score
hill_climber_restart knapPI_11_20_1000_4 10000 17 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 18 1320N
hill_climber_restart knapPI_11_20_1000_4 10000 19 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 20 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 21 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 22 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 23 1360N
hill_climber_restart knapPI_11_20_1000_4 10000 24 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 25 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 26 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 27 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 28 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 29 1440N
hill_climber_restart knapPI_11_20_1000_4 10000 30 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 31 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 32 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 33 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 34 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 35 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 36 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 37 1440N
hill_climber_restart knapPI_11_20_1000_4 10000 38 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 39 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 40 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 41 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 42 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 43 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 44 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 45 1440N
hill_climber_restart knapPI_11_20_1000_4 10000 46 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 47 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 48 1400N
hill_climber_restart knapPI_11_20_1000_4 10000 49 1400N
hill_climber_restart knapPI_13_20_1000_4 10000 0 587N
hill_climber_restart knapPI_13_20_1000_4 10000 1 880N
hill_climber_restart knapPI_13_20_1000_4 10000 2 889N
hill_climber_restart knapPI_13_20_1000_4 10000 3 890N
hill_climber_restart knapPI_13_20_1000_4 10000 4 783N
hill_climber_restart knapPI_13_20_1000_4 10000 5 881N
hill_climber_restart knapPI_13_20_1000_4 10000 6 889N
hill_climber_restart knapPI_13_20_1000_4 10000 7 880N
hill_climber_restart knapPI_13_20_1000_4 10000 8 907N
hill_climber_restart knapPI_13_20_1000_4 10000 9 880N
hill_climber_restart knapPI_13_20_1000_4 10000 10 809N
hill_climber_restart knapPI_13_20_1000_4 10000 11 880N
hill_climber_restart knapPI_13_20_1000_4 10000 12 907N
hill_climber_restart knapPI_13_20_1000_4 10000 13 880N
hill_climber_restart knapPI_13_20_1000_4 10000 14 880N
hill_climber_restart knapPI_13_20_1000_4 10000 15 889N
hill_climber_restart knapPI_13_20_1000_4 10000 16 907N
hill_climber_restart knapPI_13_20_1000_4 10000 17 907N
hill_climber_restart knapPI_13_20_1000_4 10000 18 890N
hill_climber_restart knapPI_13_20_1000_4 10000 19 827N
hill_climber_restart knapPI_13_20_1000_4 10000 20 907N
hill_climber_restart knapPI_13_20_1000_4 10000 21 880N
hill_climber_restart knapPI_13_20_1000_4 10000 22 907N
hill_climber_restart knapPI_13_20_1000_4 10000 23 800N
hill_climber_restart knapPI_13_20_1000_4 10000 24 889N
hill_climber_restart knapPI_13_20_1000_4 10000 25 792N
hill_climber_restart knapPI_13_20_1000_4 10000 26 881N
hill_climber_restart knapPI_13_20_1000_4 10000 27 889N
hill_climber_restart knapPI_13_20_1000_4 10000 28 880N
hill_climber_restart knapPI_13_20_1000_4 10000 29 872N
hill_climber_restart knapPI_13_20_1000_4 10000 30 890N
hill_climber_restart knapPI_13_20_1000_4 10000 31 836N
hill_climber_restart knapPI_13_20_1000_4 10000 32 907N
hill_climber_restart knapPI_13_20_1000_4 10000 33 907N
hill_climber_restart knapPI_13_20_1000_4 10000 34 845N
hill_climber_restart knapPI_13_20_1000_4 10000 35 801N
hill_climber_restart knapPI_13_20_1000_4 10000 36 907N
hill_climber_restart knapPI_13_20_1000_4 10000 37 907N
hill_climber_restart knapPI_13_20_1000_4 10000 38 907N
hill_climber_restart knapPI_13_20_1000_4 10000 39 907N
hill_climber_restart knapPI_13_20_1000_4 10000 40 880N
hill_climber_restart knapPI_13_20_1000_4 10000 41 881N
hill_climber_restart knapPI_13_20_1000_4 10000 42 907N
hill_climber_restart knapPI_13_20_1000_4 10000 43 890N
hill_climber_restart knapPI_13_20_1000_4 10000 44 0
hill_climber_restart knapPI_13_20_1000_4 10000 45 880N
hill_climber_restart knapPI_13_20_1000_4 10000 46 880N
hill_climber_restart knapPI_13_20_1000_4 10000 47 845N
hill_climber_restart knapPI_13_20_1000_4 10000 48 676N
